,balance,duration,campaign,previous,job_admin.,job_retired,job_student,marital_divorced,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_no,default_yes,housing_no,housing_yes,loan_no,loan_yes,contact_cellular,contact_telephone,contact_unknown,poutcome_success,poutcome_unknown,month,cluster
0,1.3462710096779584,1.9419424103655871,0.9218043844348093,0.9917221507123855,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1
1,-0.3717781620834018,-0.16253174555675767,0.1824564079139548,-0.36760145626365043,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1
2,-0.4209017366194674,0.6468813913364518,-0.5568915686068997,0.08550641272836151,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1
3,0.14051054379271116,-0.05557358103872641,-0.5568915686068997,-0.36760145626365043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1
4,0.033012851463788344,-0.5903644036288827,0.1824564079139548,2.804153626680433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1
5,-0.4687493741545963,-0.6655241949118236,-0.18721758034647246,-0.36760145626365043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1
6,-0.33668989455764065,-0.4631709106885212,-0.18721758034647246,-0.36760145626365043,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0
7,-0.3676313668303573,-0.020884446600446,-0.18721758034647246,2.804153626680433,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,1
8,-0.4317472011274299,-0.1567502231503776,-0.5568915686068997,-0.36760145626365043,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1
9,-0.4837416339156033,-0.8245160610872754,0.1824564079139548,-0.36760145626365043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1
10,-0.6030417435031913,-0.3157420893258295,-0.5568915686068997,0.08550641272836151,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0
11,-0.4362129806307086,1.3695716921339602,-0.5568915686068997,-0.36760145626365043,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0
12,-0.37624394158668045,0.3115530917664079,-0.5568915686068997,-0.36760145626365043,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1
